"就診年週","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"01",2810,3180,10420,4847,7428,4094,8469,12519,6013,9852,5979
"02",2935,2769,9945,4926,7722,4011,7966,12372,5551,10541,6030
"03",3276,2555,10521,5297,7260,3905,7235,10538,5135,11705,5603
"04",3683,2475,5656,5168,6402,3800,5841,7668,5331,10186,4514
"05",4080,1421,6595,4909,4196,3832,5799,4655,4622,8104,2999
"06",4536,1772,5578,5071,3621,3610,2716,4491,3801,3597,2505
"07",2741,1549,6256,3128,3177,2312,3932,3675,2960,4525,2130
"08",3717,1537,6816,3691,3554,2932,3441,3464,3493,4682,1940
"09",5176,1595,6605,3521,3742,3084,2962,3123,3503,4929,1720
"10",5545,1490,6939,4109,3903,3220,2952,2874,3723,4750,1646
"11",6156,1637,7579,4127,3909,4119,3155,2959,3811,4751,1534
"12",7690,1764,8484,4321,4351,5040,4071,3046,3787,4454,1543
"13",8078,1836,9530,5588,4875,5724,4389,3090,3817,4701,1607
"14",8172,1911,8174,6086,5876,6520,4870,2651,3946,4860,1320
"15",9482,2222,9194,6628,7309,5684,6562,2808,3801,5304,1285
"16",12224,2478,10169,6683,9053,6984,8883,3157,4143,5720,1249
"17",15201,2660,11607,9024,10334,8465,11226,3485,5056,6373,1176
"18",17654,3319,16841,11105,13403,10811,13321,3570,5976,7220,1243
"19",21395,4440,18777,11679,14579,13426,17127,3833,6778,7191
"20",25256,5603,19227,15681,19070,15890,19417,4602,8045,8582
"21",28732,6882,23882,25605,26361,16305,20944,5049,9851,10081
"22",28909,7849,21908,32251,34731,20245,25361,5052,10818,11044
"23",28044,8738,22654,35653,36169,22370,26032,6502,12008,11497
"24",30587,10663,22453,34340,35679,20788,27013,7806,12575,12985
"25",35493,11725,21336,33318,32271,20516,26915,9090,11572,14870
"26",31643,12105,21951,30370,28050,19041,25135,10019,12675,15881
"27",40383,13692,20330,27375,24001,17951,20654,10696,12004,16684
"28",35791,13806,16745,21955,19203,15910,15614,11017,11057,17227
"29",32167,15461,12993,18788,15297,13641,13059,11669,10202,16363
"30",28284,16496,11532,15461,12085,11642,11217,11537,9352,15599
"31",26826,16777,9625,14529,9578,10370,9467,11124,8761,15243
"32",24986,15598,9129,13312,8161,10377,8175,12087,8456,14795
"33",23905,15167,8448,11794,7354,10101,7892,12994,7699,15441
"34",22174,13905,6752,9671,6590,10231,7643,13221,6758,16688
"35",20945,11748,6165,9274,5760,9863,7273,14147,6554,18568
"36",23355,11777,5626,9025,5423,13491,6979,15377,7246,19347
"37",26025,11552,6171,9003,5298,13127,7321,18254,7756,20723
"38",25646,12004,5782,8979,5614,12622,9045,17975,8796,22743
"39",28634,10699,5070,9981,5537,11599,8572,17014,8537,21097
"40",27953,11207,4923,9927,6060,12819,9007,17074,8686,18978
"41",26057,7556,4302,9925,5199,13465,9407,16180,7322,17668
"42",26371,10986,3733,10358,4387,10977,11114,15855,7372,16509
"43",24139,9799,3429,8875,3673,13150,13199,15843,8536,11913
"44",17519,9478,3548,7559,3916,13917,14092,12278,8463,11566
"45",13684,10523,3703,8087,3727,14154,13185,10693,9169,11466
"46",11338,12723,3387,10304,3110,14727,13925,11428,10499,10016
"47",10304,13994,3186,10242,3455,15064,16479,11093,10770,7973
"48",8465,11922,3591,7911,3756,11707,18073,10574,11157,7581
"49",6662,11198,4134,6803,3943,10334,18053,9499,11438,6993
"50",5195,10475,4067,6085,3855,9792,17263,7922,11816,6046
"51",4834,11776,4916,6518,3453,9053,15047,7535,12575,5577
"52",3815,11552,5206,6796,3407,8806,14470,7089,11612,6186
"53",,,,,3944
